"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016126","sterol biosynthetic process",23,-0.671815847167689,-1.45694125200798,0.00378107091635059,0.0226794209142073,0.0158307268046165,3345,"tags=48%, list=17%, signal=40%","832481/829617/828374/835105/824460/843941/820679/826819/837254/831216/838621"
"GO:0001510","RNA methylation",58,-0.59078778507632,-1.36918717777323,0.00391184268040362,0.0232589682262552,0.0162352633755496,4629,"tags=38%, list=23%, signal=29%","824778/830161/840538/831312/841424/816642/830927/824800/831632/839283/824867/841872/819181/828842/844136/822476/831391/842318/830958/815830/820508/818550"
"GO:0090158","endoplasmic reticulum membrane organization",14,0.703691540346356,1.94647982350175,0.0040886556475766,0.0242372560009495,0.0169181294220887,5071,"tags=79%, list=25%, signal=59%","816915/821706/841550/843627/820600/835498/837404/828017/825231/819122/826300"
"GO:0042023","DNA endoreduplication",51,-0.596929046868003,-1.37480580150091,0.00414782590657044,0.0245143962262576,0.0171115792994034,6135,"tags=51%, list=31%, signal=35%","824036/831847/834044/830326/841559/818444/7922426/823971/824585/822079/844213/837339/820746/820217/831023/817518/814812/838127/825111/841258/824226/837997/816345/817340/840218/838621"
"GO:0062012","regulation of small molecule metabolic process",113,-0.53380318565211,-1.26612658716147,0.00420566926668586,0.0247820630819041,0.0172984165595971,4513,"tags=30%, list=23%, signal=23%","824599/830663/841665/835968/836690/842775/836666/824825/837277/832268/829435/836367/834085/818437/830751/828205/828213/830662/824779/836519/821339/823942/831612/836263/819826/830153/815963/843886/814873/827479/834757/837095/830825/837953"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",12,-0.760560395272411,-1.50374655467401,0.00421892465950348,0.0247861823745829,0.0173012919150691,2429,"tags=33%, list=12%, signal=29%","819805/819070/842836/829622"
"GO:0006270","DNA replication initiation",23,-0.670556077058586,-1.45420923690631,0.00424795808951604,0.0248826981267201,0.0173686619996142,5760,"tags=78%, list=29%, signal=56%","835372/824636/839227/822101/826875/816632/817684/834960/817518/814641/843086/829114/843052/816142/815415/841056/828153/834670"
"GO:0010119","regulation of stomatal movement",104,-0.543961214807106,-1.28755725158264,0.00428010396482013,0.0249968201969081,0.0174483216753334,2709,"tags=24%, list=14%, signal=21%","824815/819665/817134/821136/838598/840099/824083/824087/832356/835320/843377/825147/841670/832370/832667/823721/816623/843874/832669/816705/822391/821134/815055/815058/835515"
"GO:0032881","regulation of polysaccharide metabolic process",44,-0.610154811277472,-1.39715899992798,0.00438965594312859,0.0255610054033506,0.0178421351639662,3859,"tags=39%, list=19%, signal=31%","830549/833975/843141/814637/821783/834088/843133/829352/824742/844225/838257/840099/820845/818766/832620/831013/838138"
"GO:0007346","regulation of mitotic cell cycle",70,-0.573320492773939,-1.34140406332034,0.00443340686419549,0.0257398386762409,0.0179669646601607,6950,"tags=61%, list=35%, signal=40%","841166/838899/827121/837238/831001/818636/836434/841684/830434/824036/841414/843506/836489/830326/835372/819713/831111/818444/817921/843272/816591/824585/824955/844377/838687/820636/826875/844213/820746/822195/823970/817518/833791/844108/843987/821496/838127/829919/841471/817341/842992/817340/821545"
"GO:0070071","proton-transporting two-sector ATPase complex assembly",15,-0.736408573163696,-1.51854764873873,0.00455652141569432,0.0258488718855732,0.0180430722008294,1456,"tags=27%, list=7%, signal=25%","829555/816677/822570/817656"
"GO:0006096","glycolytic process",46,-0.60262784942068,-1.38395453521929,0.00459622797965359,0.0258488718855732,0.0180430722008294,4929,"tags=41%, list=25%, signal=31%","843741/824599/838822/829420/844291/840138/816505/828758/830758/828564/835369/842072/821870/816652/828759/824710/837904/820461/830052"
