"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","39/4731","43/6305",0.906976744186046,1.2087271976523,2.38088791581027,0.00884030080382423,0.019391627569679,0.00750449983346709,"AT1G04710/AT1G06290/AT1G09400/AT1G13280/AT1G17420/AT1G18020/AT1G19640/AT1G20480/AT1G20490/AT1G20510/AT1G67560/AT1G72520/AT1G73680/AT1G76680/AT1G76690/AT1G77120/AT2G06050/AT2G06925/AT2G33150/AT3G01420/AT3G03310/AT3G03480/AT3G06690/AT3G06860/AT3G25760/AT3G25770/AT3G25780/AT3G45140/AT3G51840/AT3G57140/AT4G13010/AT4G16760/AT4G19860/AT4G29010/AT5G04040/AT5G38120/AT5G42650/AT5G48880/AT5G65110",39
"Metabolism","Nucleotide metabolism","ath00240","Pyrimidine metabolism","57/4731","65/6305",0.876923076923077,1.16867469879518,2.36971729964129,0.0093000315334568,0.0200762585484147,0.00776944990263726,"AT1G05620/AT1G14230/AT1G14240/AT1G14250/AT1G26160/AT1G29900/AT1G30110/AT1G30820/AT1G50510/AT1G55810/AT1G72880/AT1G73980/AT2G02970/AT2G21550/AT2G21790/AT2G23820/AT2G36310/AT2G38680/AT3G04080/AT3G07800/AT3G12670/AT3G17810/AT3G18680/AT3G20330/AT3G23580/AT3G25400/AT3G27060/AT3G27190/AT3G27440/AT3G27740/AT3G46940/AT3G48540/AT3G53900/AT3G54470/AT3G60180/AT4G02120/AT4G09320/AT4G11010/AT4G14930/AT4G20320/AT4G22930/AT4G25280/AT4G26510/AT4G29570/AT4G29610/AT4G29640/AT4G29680/AT4G34570/AT5G12200/AT5G18280/AT5G23070/AT5G23300/AT5G26667/AT5G40870/AT5G59440/AT5G63310/AT5G64370",57
"Metabolism","Metabolism of cofactors and vitamins","ath00780","Biotin metabolism","16/4731","16/6305",1,1.33269921792433,2.30995322703081,0.0100353020544223,0.0213250168656473,0.00825271550528148,"AT1G24360/AT1G37150/AT1G74960/AT2G04540/AT2G05990/AT2G22230/AT2G25710/AT2G43360/AT3G03980/AT3G04000/AT4G13180/AT5G04620/AT5G10160/AT5G18210/AT5G46290/AT5G57590",16
"Genetic Information Processing","Replication and repair","ath03420","Nucleotide excision repair","73/4731","85/6305",0.858823529411765,1.14455344598207,2.32608152529048,0.0106471936680257,0.021907822610307,0.00847825952411263,"AT1G03190/AT1G05055/AT1G07370/AT1G08130/AT1G08260/AT1G09815/AT1G11475/AT1G12400/AT1G16190/AT1G18040/AT1G18340/AT1G19750/AT1G21690/AT1G27840/AT1G50840/AT1G53690/AT1G54250/AT1G55750/AT1G61700/AT1G63160/AT1G66750/AT1G73690/AT1G77470/AT1G78650/AT1G79650/AT2G06510/AT2G15400/AT2G15430/AT2G18760/AT2G24490/AT2G27470/AT2G29570/AT2G41340/AT2G42120/AT3G02920/AT3G05210/AT3G16980/AT3G20540/AT3G22320/AT3G28030/AT3G52090/AT3G57080/AT3G59600/AT3G61420/AT3G61800/AT4G05420/AT4G12100/AT4G16265/AT4G17020/AT4G18590/AT4G19130/AT4G21100/AT4G21710/AT4G30820/AT4G35800/AT5G08020/AT5G09920/AT5G16630/AT5G22010/AT5G22110/AT5G27620/AT5G27740/AT5G38470/AT5G41010/AT5G41150/AT5G41360/AT5G41370/AT5G45400/AT5G46210/AT5G58760/AT5G59180/AT5G61000/AT5G63960",73
"Metabolism","Carbohydrate metabolism","ath00640","Propanoate metabolism","38/4731","42/6305",0.904761904761905,1.20577548288392,2.31957960265968,0.0107928243741954,0.021907822610307,0.00847825952411263,"AT1G06290/AT1G06550/AT1G21400/AT1G36160/AT1G36180/AT1G48030/AT1G55510/AT2G14170/AT2G20420/AT2G30650/AT2G30660/AT2G38040/AT3G06690/AT3G06850/AT3G13450/AT3G16950/AT3G17240/AT3G21720/AT3G24360/AT3G51840/AT3G60510/AT4G04320/AT4G13360/AT4G16155/AT4G16210/AT4G16760/AT4G17260/AT4G20930/AT4G31810/AT5G08300/AT5G09300/AT5G15530/AT5G16390/AT5G23250/AT5G35360/AT5G36880/AT5G65110/AT5G65940",38
"Metabolism","Metabolism of cofactors and vitamins","ath00670","One carbon pool by folate","38/4731","42/6305",0.904761904761905,1.20577548288392,2.31957960265968,0.0107928243741954,0.021907822610307,0.00847825952411263,"AT1G02500/AT1G11860/AT1G22020/AT1G31220/AT1G32470/AT1G36370/AT1G48030/AT1G50480/AT1G54100/AT1G74920/AT1G76730/AT2G21550/AT2G26080/AT2G35040/AT2G35120/AT2G35370/AT2G36880/AT2G44160/AT3G16950/AT3G17240/AT3G17390/AT3G22740/AT3G23810/AT3G25900/AT3G48170/AT3G59970/AT4G01850/AT4G13890/AT4G13940/AT4G16155/AT4G17360/AT4G29890/AT4G32520/AT4G33010/AT4G34570/AT4G37930/AT5G13050/AT5G47435",38
"Metabolism","Carbohydrate metabolism","ath00020","Citrate cycle (TCA cycle)","56/4731","64/6305",0.875,1.16611181568379,2.31550452088382,0.0109935599843515,0.021987119968703,0.00850894735630922,"AT1G01090/AT1G04410/AT1G09430/AT1G10670/AT1G24180/AT1G30120/AT1G34430/AT1G48030/AT1G53240/AT1G54220/AT1G54340/AT1G59900/AT1G60810/AT2G05710/AT2G17130/AT2G20420/AT2G22780/AT2G34590/AT2G42790/AT2G44350/AT2G46505/AT2G47510/AT3G06650/AT3G09810/AT3G13930/AT3G15020/AT3G16950/AT3G17240/AT3G25860/AT3G27380/AT3G47520/AT3G52200/AT3G55410/AT3G58750/AT4G16155/AT4G26910/AT4G26970/AT4G32210/AT4G35260/AT4G35830/AT5G03290/AT5G08300/AT5G09600/AT5G09660/AT5G14590/AT5G23250/AT5G40650/AT5G49460/AT5G50850/AT5G50950/AT5G55070/AT5G56720/AT5G65165/AT5G65690/AT5G65750/AT5G66760",56
"Metabolism","Metabolism of cofactors and vitamins","ath00760","Nicotinate and nicotinamide metabolism","22/4731","23/6305",0.956521739130435,1.27475577366675,2.28846350840994,0.0115946613734223,0.022853245605586,0.00884413529627942,"AT1G05620/AT1G21640/AT1G55090/AT1G72880/AT1G78590/AT2G01350/AT2G04450/AT2G23420/AT2G36310/AT3G21070/AT3G62040/AT4G12720/AT4G14930/AT4G25434/AT4G29680/AT4G36940/AT5G09230/AT5G14760/AT5G20070/AT5G47650/AT5G55760/AT5G55810",22
"Metabolism","Lipid metabolism","ath00071","Fatty acid degradation","42/4731","47/6305",0.893617021276596,1.19092270537919,2.27756584567159,0.0123439184040853,0.0236446887740225,0.00915042135217588,"AT1G04710/AT1G06290/AT1G22430/AT1G22440/AT1G23800/AT1G32780/AT1G44170/AT1G49430/AT1G54100/AT1G64400/AT1G64710/AT1G65520/AT1G69500/AT1G77120/AT1G77590/AT2G04350/AT2G33150/AT2G47240/AT3G05970/AT3G06690/AT3G06810/AT3G06860/AT3G23790/AT3G48000/AT3G51840/AT4G14070/AT4G14430/AT4G14440/AT4G16210/AT4G16760/AT4G23850/AT4G29010/AT4G34240/AT4G36250/AT5G24760/AT5G27600/AT5G42250/AT5G43940/AT5G48230/AT5G48880/AT5G58860/AT5G65110",42
"Metabolism","Metabolism of other amino acids","ath00410","beta-Alanine metabolism","42/4731","47/6305",0.893617021276596,1.19092270537919,2.27756584567159,0.0123439184040853,0.0236446887740225,0.00915042135217588,"AT1G06290/AT1G06550/AT1G23800/AT1G31690/AT1G31710/AT1G44170/AT1G54100/AT1G62810/AT1G65840/AT1G65960/AT2G02010/AT2G14170/AT2G30650/AT2G30660/AT2G42490/AT2G43020/AT3G06690/AT3G17810/AT3G24360/AT3G43670/AT3G48000/AT3G51840/AT3G59050/AT3G60510/AT4G04320/AT4G12290/AT4G13360/AT4G14940/AT4G16210/AT4G16760/AT4G20930/AT4G29720/AT4G31810/AT4G34240/AT4G36250/AT5G12200/AT5G13700/AT5G17330/AT5G48840/AT5G64370/AT5G65110/AT5G65940",42
"Metabolism","Metabolism of cofactors and vitamins","ath00750","Vitamin B6 metabolism","15/4731","15/6305",1,1.33269921792433,2.23642479728581,0.0133846585925183,0.025282132896979,0.00978410715827359,"AT1G17710/AT1G72810/AT1G73010/AT2G17630/AT2G38230/AT2G46580/AT3G16050/AT4G29530/AT4G29840/AT4G35630/AT5G01410/AT5G37850/AT5G49970/AT5G53580/AT5G60540",15
"Metabolism","Energy metabolism","ath00196","Photosynthesis - antenna proteins","21/4731","22/6305",0.954545454545455,1.27212198074595,2.21653016628627,0.0148722406012181,0.0277071879693925,0.0107225959633872,"AT1G15820/AT1G19150/AT1G29910/AT1G29920/AT1G29930/AT1G45474/AT1G61520/AT1G76570/AT2G05070/AT2G05100/AT2G34430/AT2G40100/AT3G08940/AT3G27690/AT3G47470/AT3G54890/AT3G61470/AT4G10340/AT5G01530/AT5G28450/AT5G54270",21
"Metabolism","Metabolism of cofactors and vitamins","ath00130","Ubiquinone and other terpenoid-quinone biosynthesis","36/4731","40/6305",0.9,1.1994292961319,2.19351509142177,0.0159878252269465,0.0293830301468206,0.011371141697686,"AT1G06570/AT1G18870/AT1G23360/AT1G30520/AT1G51680/AT1G60550/AT1G60600/AT1G64970/AT1G65060/AT1G68890/AT1G74710/AT2G03690/AT2G18950/AT2G24850/AT2G30490/AT2G30920/AT3G11945/AT3G21230/AT3G21240/AT3G24200/AT3G63410/AT4G05160/AT4G19010/AT4G23660/AT4G27270/AT4G28420/AT4G32770/AT4G36750/AT5G08740/AT5G36160/AT5G48950/AT5G53970/AT5G54500/AT5G57300/AT5G58800/AT5G63380",36
"Metabolism","Metabolism of cofactors and vitamins","ath00730","Thiamine metabolism","20/4731","21/6305",0.952380952380952,1.26923735040412,2.14244202874754,0.0190448119145182,0.0345345922716596,0.01336478029089,"AT1G02880/AT1G67440/AT2G29630/AT2G37250/AT2G39270/AT2G44750/AT3G01820/AT3G16990/AT3G21500/AT3G24030/AT4G15560/AT5G11380/AT5G32470/AT5G35170/AT5G47840/AT5G50370/AT5G54770/AT5G63400/AT5G65720/AT5G66005",20
"Genetic Information Processing","Translation","ath03010","Ribosome","313/4731","394/6305",0.794416243654822,1.05871790662516,2.08674992937618,0.0198384678185381,0.0355004160963314,0.0137385511208713,"AT1G01100/AT1G02780/AT1G04270/AT1G04480/AT1G05190/AT1G07070/AT1G07320/AT1G07770/AT1G07830/AT1G08360/AT1G09590/AT1G09690/AT1G14620/AT1G15250/AT1G15930/AT1G16740/AT1G16870/AT1G17080/AT1G17560/AT1G18080/AT1G18540/AT1G22780/AT1G26740/AT1G26750/AT1G26880/AT1G26910/AT1G27400/AT1G29070/AT1G29965/AT1G29970/AT1G32990/AT1G33120/AT1G33140/AT1G34030/AT1G35680/AT1G41880/AT1G48350/AT1G48630/AT1G49400/AT1G52300/AT1G52370/AT1G56045/AT1G57660/AT1G57860/AT1G58380/AT1G61580/AT1G64510/AT1G64880/AT1G66580/AT1G67430/AT1G68590/AT1G69485/AT1G69620/AT1G70190/AT1G70600/AT1G71720/AT1G72370/AT1G74050/AT1G74060/AT1G74270/AT1G74970/AT1G75350/AT1G77750/AT1G77940/AT1G78630/AT1G80750/AT2G01250/AT2G04390/AT2G05220/AT2G09990/AT2G16930/AT2G17360/AT2G18020/AT2G18400/AT2G19720/AT2G19730/AT2G19740/AT2G19750/AT2G20060/AT2G20450/AT2G21290/AT2G21580/AT2G24090/AT2G25210/AT2G27530/AT2G27710/AT2G27720/AT2G31610/AT2G32060/AT2G32220/AT2G33370/AT2G33450/AT2G33800/AT2G34480/AT2G34520/AT2G36160/AT2G36170/AT2G36620/AT2G37190/AT2G37270/AT2G37600/AT2G38140/AT2G39390/AT2G39460/AT2G40010/AT2G40205/AT2G40510/AT2G41840/AT2G42740/AT2G43030/AT2G43460/AT2G44120/AT2G44860/AT2G45710/AT2G47110/AT2G47610/AT3G01740/AT3G01790/AT3G02080/AT3G02190/AT3G02560/AT3G03600/AT3G04230/AT3G04400/AT3G04770/AT3G04840/AT3G04920/AT3G05560/AT3G06040/AT3G06320/AT3G06680/AT3G06700/AT3G07110/AT3G08520/AT3G09200/AT3G09500/AT3G09630/AT3G09680/AT3G10090/AT3G10610/AT3G11120/AT3G11250/AT3G11510/AT3G11940/AT3G12370/AT3G13120/AT3G13580/AT3G13882/AT3G14600/AT3G15190/AT3G16080/AT3G16780/AT3G18130/AT3G18740/AT3G18760/AT3G18880/AT3G20230/AT3G22230/AT3G22300/AT3G22450/AT3G23390/AT3G24830/AT3G25520/AT3G25920/AT3G26360/AT3G27830/AT3G27850/AT3G28500/AT3G28900/AT3G43980/AT3G44010/AT3G44590/AT3G44890/AT3G45030/AT3G46040/AT3G47370/AT3G48930/AT3G49010/AT3G49910/AT3G51190/AT3G52150/AT3G52580/AT3G52590/AT3G53020/AT3G53430/AT3G53740/AT3G53870/AT3G53890/AT3G54210/AT3G55170/AT3G55280/AT3G55750/AT3G56020/AT3G56340/AT3G56910/AT3G57490/AT3G58700/AT3G59540/AT3G59650/AT3G60245/AT3G60770/AT3G61110/AT3G62250/AT3G62870/AT3G63490/AT4G00100/AT4G00810/AT4G01310/AT4G02230/AT4G09800/AT4G10450/AT4G13170/AT4G14320/AT4G15000/AT4G16720/AT4G17390/AT4G17560/AT4G18100/AT4G18730/AT4G23620/AT4G25740/AT4G25890/AT4G26230/AT4G27090/AT4G28360/AT4G29390/AT4G29410/AT4G29430/AT4G30800/AT4G30930/AT4G31460/AT4G31985/AT4G33865/AT4G34555/AT4G34620/AT4G34670/AT4G35490/AT4G36130/AT4G36420/AT4G37660/AT4G39200/AT4G39880/AT5G02450/AT5G02610/AT5G02870/AT5G02960/AT5G03850/AT5G04800/AT5G07090/AT5G09510/AT5G09770/AT5G10360/AT5G13510/AT5G14320/AT5G15200/AT5G15220/AT5G15520/AT5G15760/AT5G16130/AT5G17870/AT5G18380/AT5G18790/AT5G20180/AT5G20290/AT5G22440/AT5G23535/AT5G23740/AT5G23900/AT5G24510/AT5G27395/AT5G27700/AT5G27770/AT5G27850/AT5G28060/AT5G30510/AT5G35530/AT5G39600/AT5G39740/AT5G39800/AT5G39850/AT5G40080/AT5G40950/AT5G41520/AT5G44710/AT5G45775/AT5G46160/AT5G46430/AT5G47190/AT5G47320/AT5G47700/AT5G47930/AT5G48760/AT5G52650/AT5G53070/AT5G54600/AT5G55140/AT5G56670/AT5G56710/AT5G56940/AT5G57290/AT5G58420/AT5G59240/AT5G59850/AT5G60670/AT5G61170/AT5G62270/AT5G62300/AT5G64140/AT5G64650/AT5G64670/AT5G65220/AT5G66860/AT5G67510",313
"Genetic Information Processing","Transcription","ath03022","Basal transcription factors","48/4731","55/6305",0.872727272727273,1.16308295382487,2.10587271336361,0.0203316822658263,0.0359105037422386,0.0138972537702162,"AT1G02680/AT1G03190/AT1G03280/AT1G04950/AT1G05055/AT1G07470/AT1G07480/AT1G12400/AT1G17440/AT1G18040/AT1G18340/AT1G27720/AT1G31240/AT1G32750/AT1G54140/AT1G54360/AT1G55300/AT1G55520/AT1G55750/AT1G66750/AT1G73690/AT1G73960/AT1G75510/AT2G41630/AT3G02160/AT3G10070/AT3G10330/AT3G13445/AT3G19040/AT3G52270/AT3G61420/AT4G12610/AT4G17020/AT4G20280/AT4G20330/AT4G20340/AT4G24440/AT4G30820/AT4G31720/AT4G34340/AT4G36650/AT5G15570/AT5G25150/AT5G27620/AT5G41360/AT5G41370/AT5G43130/AT5G59230",48
"Metabolism","Glycan biosynthesis and metabolism","ath00514","Other types of O-glycan biosynthesis","13/4731","13/6305",1,1.33269921792433,2.08166725822273,0.0238062990213085,0.041508418806384,0.0160636295690341,"AT1G17270/AT1G19360/AT1G53770/AT1G75110/AT1G75120/AT2G25260/AT2G35610/AT3G01720/AT3G04240/AT3G11540/AT5G13500/AT5G25265/AT5G50420",13
"Metabolism","Metabolism of cofactors and vitamins","ath00740","Riboflavin metabolism","19/4731","20/6305",0.95,1.26606425702811,2.06600374579518,0.0243444396396331,0.0419094150758241,0.0162188138838328,"AT1G14700/AT1G25230/AT1G79790/AT2G01880/AT2G01890/AT2G20690/AT2G22450/AT2G44050/AT3G17790/AT3G24030/AT3G47390/AT4G11570/AT4G20960/AT4G21470/AT4G29680/AT5G08340/AT5G23330/AT5G59750/AT5G64300",19
"Metabolism","Metabolism of cofactors and vitamins","ath00790","Folate biosynthesis","29/4731","32/6305",0.90625,1.20775866624392,2.04257826468846,0.02514700059169,0.0427499010058731,0.0165440793366382,"AT1G01290/AT1G16540/AT1G29810/AT1G78660/AT1G78670/AT1G78680/AT2G21550/AT2G22450/AT2G28880/AT2G31955/AT2G43760/AT3G07270/AT3G10160/AT3G11750/AT3G55630/AT3G59710/AT4G30000/AT4G34570/AT5G05980/AT5G20990/AT5G41480/AT5G42370/AT5G51030/AT5G51110/AT5G57850/AT5G59750/AT5G61830/AT5G62980/AT5G64300",29
"Human Diseases","Infectious disease: bacterial","ath05100","Bacterial invasion of epithelial cells","24/4731","26/6305",0.923076923076923,1.23018389346861,2.0389124436699,0.025850090409875,0.0434026209350988,0.0167966799284438,"AT1G10290/AT1G13180/AT1G16590/AT1G20090/AT1G30825/AT1G59610/AT1G60430/AT1G75840/AT2G17800/AT2G30910/AT2G31300/AT2G33385/AT2G44690/AT3G08530/AT3G11130/AT3G27000/AT3G48040/AT3G51300/AT4G01710/AT4G14147/AT4G28950/AT4G35020/AT4G35950/AT5G45970",24
